Date,Open,High,Low,Close,Adj Close,Volume
06-01-2006,142.611084,144.119675,141.280441,142.45636,125.33226,41098419
09-01-2006,142.812225,143.199051,140.21283,140.824005,123.896133,40327444
10-01-2006,140.646072,140.800797,137.435501,138.340652,121.711319,62046055
12-01-2006,133.544128,138.789352,133.544128,137.218887,120.724396,127177465
13-01-2006,137.698532,138.789352,136.63092,136.955841,120.492958,65481486
16-01-2006,137.39682,137.39682,133.71434,135.068192,118.832199,99382583
17-01-2006,135.424057,144.978394,134.92894,143.663223,126.394058,291801549
18-01-2006,143.663223,180.142426,143.663223,171.796539,151.145584,246313865
19-01-2006,173.35675,180.699646,171.226944,174.471191,153.498734,41073520
20-01-2006,175.090317,175.684677,173.852051,174.396896,153.43338,15585673
23-01-2006,173.852051,174.842667,171.870834,173.938736,153.030289,16858028
24-01-2006,175.833282,176.823883,170.620193,171.734634,151.091156,45680556
25-01-2006,172.366135,173.30722,169.641968,170.483978,149.990768,54017608
27-01-2006,172.093719,174.149246,172.068954,173.022415,152.224091,25355568
30-01-2006,173.35675,177.864029,173.35675,176.093307,154.925873,29303079
31-01-2006,175.437027,178.260269,175.437027,176.799118,155.546799,25071618
01-02-2006,176.972473,178.012619,173.604401,174.545486,153.564072,19939782
02-02-2006,175.808517,177.294434,173.604401,175.498947,154.402954,20280130
03-02-2006,175.090317,175.090317,172.118484,172.514725,151.777451,13847225
06-02-2006,172.118484,178.990845,169.270493,178.396484,156.952179,38464590
07-02-2006,178.446014,179.17659,174.966492,178.446014,156.995758,27464883
08-02-2006,178.297424,178.805099,176.823883,177.443024,156.113342,27258476
10-02-2006,177.071533,179.188965,177.071533,178.210739,156.788773,20860964
13-02-2006,177.071533,178.557449,177.071533,177.517319,156.17868,12803585
14-02-2006,177.071533,179.387085,176.353348,176.873413,155.612183,26679754
15-02-2006,176.353348,178.037384,172.48996,173.802521,152.910416,30927072
16-02-2006,173.802521,175.684677,171.883224,172.626175,151.875504,16389642
17-02-2006,174.099701,175.214142,170.880219,171.660324,151.025757,18703933
20-02-2006,171.870834,174.211151,170.632568,173.864441,152.96492,13026761
21-02-2006,173.864441,174.842667,171.945129,172.79953,152.028,13568968
22-02-2006,173.171005,174.718842,172.86145,174.334976,153.378891,11855252
23-02-2006,174.595016,175.053177,172.130875,173.443436,152.594528,25081680
24-02-2006,173.852051,175.189377,173.1091,174.062561,153.139221,9696300
27-02-2006,174.099701,174.805511,172.6138,173.381516,152.540039,21800450
28-02-2006,174.285446,177.046768,172.19278,175.548477,154.446548,31175905
01-03-2006,175.337967,176.799118,173.876816,175.399887,154.315796,18265710
02-03-2006,175.833282,178.062149,175.090317,176.613388,155.383408,15432761
03-03-2006,177.071533,177.814499,175.399887,177.257278,155.949936,16900394
06-03-2006,177.566849,181.752167,177.566849,181.331161,159.534073,24754561
07-03-2006,181.603577,183.262848,180.538666,181.405457,159.599426,21785239
08-03-2006,181.529282,181.529282,176.241898,178.285034,156.854126,28379636
09-03-2006,179.300415,180.464371,176.204758,179.981461,158.346649,18649704
10-03-2006,181.033981,182.742783,180.080521,181.145416,159.370697,13952837
